id,tr,body,mite,num,newintensity,bodysize,sex,bignum,bigintensity,smallnum,smallintensity,naturalsetting
25,l50s3,head,P. carabi,5,0.852805731,4.29,f,10,0.095488758,3,0.028646627,1
25,l50s3,head,P. carabi,5,0.852805731,4.29,f,25,0.238721894,3,0.028646627,1
25,l50s3,head,P. carabi,4,0.682244585,4.29,f,50,0.477443789,3,0.028646627,1
26,l50s3,head,P. carabi,0,0,4.42,f,1,0.009017681,3,0.027053042,1
26,l50s3,head,P. carabi,0,0,4.42,f,5,0.045088403,3,0.027053042,1
26,l50s3,head,P. carabi,2,0.2734108,4.42,f,10,0.090176806,3,0.027053042,1
26,l50s3,head,P. carabi,3,0.4101162,4.42,f,25,0.225442015,3,0.027053042,1
26,l50s3,head,P. carabi,2,0.2734108,4.42,f,50,0.45088403,3,0.027053042,1
27,l50s3,head,P. carabi,0,0,4.55,f,1,0.008542471,3,0.025627412,1
27,l50s3,head,P. carabi,1,0.11727454,4.55,f,5,0.042712354,3,0.025627412,1
27,l50s3,head,P. carabi,0,0,4.55,f,10,0.085424708,3,0.025627412,1
27,l50s3,head,P. carabi,3,0.351823619,4.55,f,25,0.21356177,3,0.025627412,1
27,l50s3,head,P. carabi,1,0.11727454,4.55,f,50,0.427123541,3,0.025627412,1
28,l50s3,head,P. carabi,0,0,4.64,f,1,0.008241786,3,0.024725359,1
28,l50s3,head,P. carabi,1,0.102165917,4.64,f,5,0.041208932,3,0.024725359,1
28,l50s3,head,P. carabi,1,0.102165917,4.64,f,10,0.082417863,3,0.024725359,1
28,l50s3,head,P. carabi,1,0.102165917,4.64,f,25,0.206044658,3,0.024725359,1
28,l50s3,head,P. carabi,4,0.40866367,4.64,f,50,0.412089316,3,0.024725359,1
29,l50s3,head,P. carabi,0,0,4.78,f,1,0.007813944,3,0.023441833,1
29,l50s3,head,P. carabi,1,0.089960417,4.78,f,5,0.039069722,3,0.023441833,1
29,l50s3,head,P. carabi,1,0.089960417,4.78,f,10,0.078139444,3,0.023441833,1
29,l50s3,head,P. carabi,4,0.35984167,4.78,f,25,0.195348609,3,0.023441833,1
29,l50s3,head,P. carabi,4,0.35984167,4.78,f,50,0.390697218,3,0.023441833,1
30,l50s3,head,P. carabi,0,0,4.8,f,1,0.007756423,3,0.02326927,1
30,l50s3,head,P. carabi,1,0.094840668,4.8,f,5,0.038782117,3,0.02326927,1
30,l50s3,head,P. carabi,3,0.284522003,4.8,f,10,0.077564235,3,0.02326927,1
30,l50s3,head,P. carabi,2,0.189681335,4.8,f,25,0.193910587,3,0.02326927,1
30,l50s3,head,P. carabi,2,0.189681335,4.8,f,50,0.387821174,3,0.02326927,1
31,l50s3,head,P. carabi,0,0,4.88,f,1,0.007534566,3,0.022603699,1
31,l50s3,head,P. carabi,0,0,4.88,f,5,0.037672832,3,0.022603699,1
31,l50s3,head,P. carabi,4,0.451059991,4.88,f,10,0.075345663,3,0.022603699,1
31,l50s3,head,P. carabi,2,0.225529995,4.88,f,25,0.188364158,3,0.022603699,1
31,l50s3,head,P. carabi,4,0.451059991,4.88,f,50,0.376728316,3,0.022603699,1
32,l50s3,head,P. carabi,0,0,4.97,f,1,0.007299674,3,0.021899023,1
32,l50s3,head,P. carabi,1,0.124953143,4.97,f,5,0.036498372,3,0.021899023,1
32,l50s3,head,P. carabi,2,0.249906285,4.97,f,10,0.072996745,3,0.021899023,1
32,l50s3,head,P. carabi,3,0.374859428,4.97,f,25,0.182491862,3,0.021899023,1
32,l50s3,head,P. carabi,4,0.49981257,4.97,f,50,0.364983724,3,0.021899023,1
33,l50s3,head,P. carabi,0,0,5.08,f,1,0.007031744,3,0.021095231,1
33,l50s3,head,P. carabi,2,0.159629659,5.08,f,5,0.035158718,3,0.021095231,1
33,l50s3,head,P. carabi,4,0.319259318,5.08,f,10,0.070317435,3,0.021095231,1
33,l50s3,head,P. carabi,3,0.239444489,5.08,f,25,0.175793589,3,0.021095231,1
33,l50s3,head,P. carabi,6,0.478888978,5.08,f,50,0.351587177,3,0.021095231,1
34,l50s5,head,P. carabi,1,0.148434021,3.86,f,1,0.011859642,5,0.059298208,1
34,l50s5,head,P. carabi,1,0.148434021,3.86,f,5,0.059298208,5,0.059298208,1
34,l50s5,head,P. carabi,1,0.148434021,3.86,f,10,0.118596416,5,0.059298208,1
34,l50s5,head,P. carabi,1,0.148434021,3.86,f,25,0.29649104,5,0.059298208,1
34,l50s5,head,P. carabi,2,0.296868042,3.86,f,50,0.592982081,5,0.059298208,1
35,l50s5,head,P. carabi,1,0.162839928,4.16,f,1,0.010146569,5,0.050732846,1
35,l50s5,head,P. carabi,3,0.488519785,4.16,f,5,0.050732846,5,0.050732846,1
35,l50s5,head,P. carabi,3,0.488519785,4.16,f,10,0.101465692,5,0.050732846,1
35,l50s5,head,P. carabi,4,0.651359713,4.16,f,25,0.253664231,5,0.050732846,1
35,l50s5,head,P. carabi,3,0.488519785,4.16,f,50,0.507328461,5,0.050732846,1
36,l50s5,head,P. carabi,0,0,4.32,f,1,0.009420812,5,0.047104061,1
36,l50s5,head,P. carabi,2,0.264340471,4.32,f,5,0.047104061,5,0.047104061,1
36,l50s5,head,P. carabi,5,0.660851176,4.32,f,10,0.094208122,5,0.047104061,1
36,l50s5,head,P. carabi,4,0.528680941,4.32,f,25,0.235520306,5,0.047104061,1
36,l50s5,head,P. carabi,2,0.264340471,4.32,f,50,0.471040612,5,0.047104061,1
37,l50s5,head,P. carabi,0,0,4.52,f,1,0.008647634,5,0.043238172,1
37,l50s5,head,P. carabi,3,0.26718917,4.52,f,5,0.043238172,5,0.043238172,1
37,l50s5,head,P. carabi,1,0.089063057,4.52,f,10,0.086476345,5,0.043238172,1
37,l50s5,head,P. carabi,1,0.089063057,4.52,f,25,0.216190862,5,0.043238172,1
37,l50s5,head,P. carabi,3,0.26718917,4.52,f,50,0.432381725,5,0.043238172,1
38,l50s5,head,P. carabi,0,0,4.6,f,1,0.008372769,5,0.041863845,1
38,l50s5,head,P. carabi,0,0,4.6,f,5,0.041863845,5,0.041863845,1
38,l50s5,head,P. carabi,2,0.19872814,4.6,f,10,0.083727691,5,0.041863845,1
38,l50s5,head,P. carabi,3,0.29809221,4.6,f,25,0.209319227,5,0.041863845,1
38,l50s5,head,P. carabi,4,0.39745628,4.6,f,50,0.418638454,5,0.041863845,1
39,l50s5,head,P. carabi,0,0,4.71,f,1,0.008022165,5,0.040110825,1
39,l50s5,head,P. carabi,2,0.240847784,4.71,f,5,0.040110825,5,0.040110825,1
39,l50s5,head,P. carabi,2,0.240847784,4.71,f,10,0.080221649,5,0.040110825,1
39,l50s5,head,P. carabi,7,0.842967245,4.71,f,25,0.200554123,5,0.040110825,1
39,l50s5,head,P. carabi,3,0.361271676,4.71,f,50,0.401108246,5,0.040110825,1
40,l50s5,head,P. carabi,0,0,4.71,f,1,0.008022165,5,0.040110825,1
40,l50s5,head,P. carabi,0,0,4.71,f,5,0.040110825,5,0.040110825,1
40,l50s5,head,P. carabi,3,0.260394063,4.71,f,10,0.080221649,5,0.040110825,1
40,l50s5,head,P. carabi,3,0.260394063,4.71,f,25,0.200554123,5,0.040110825,1
40,l50s5,head,P. carabi,5,0.433990105,4.71,f,50,0.401108246,5,0.040110825,1
41,l50s5,head,P. carabi,0,0,4.89,f,1,0.007507723,5,0.037538617,1
41,l50s5,head,P. carabi,0,0,4.89,f,5,0.037538617,5,0.037538617,1
41,l50s5,head,P. carabi,2,0.200140098,4.89,f,10,0.075077234,5,0.037538617,1
41,l50s5,head,P. carabi,0,0,4.89,f,25,0.187693085,5,0.037538617,1
41,l50s5,head,P. carabi,0,0,4.89,f,50,0.375386169,5,0.037538617,1
42,l50s5,head,P. carabi,0,0,4.97,f,1,0.007299674,5,0.036498372,1
42,l50s5,head,P. carabi,2,0.187916941,4.97,f,5,0.036498372,5,0.036498372,1
42,l50s5,head,P. carabi,4,0.375833881,4.97,f,10,0.072996745,5,0.036498372,1
42,l50s5,head,P. carabi,3,0.281875411,4.97,f,25,0.182491862,5,0.036498372,1
42,l50s5,head,P. carabi,0,0,4.97,f,50,0.364983724,5,0.036498372,1
43,l50s5,head,P. carabi,0,0,5.41,f,1,0.006334256,5,0.031671281,1
43,l50s5,head,P. carabi,2,0.164379058,5.41,f,5,0.031671281,5,0.031671281,1
43,l50s5,head,P. carabi,3,0.246568587,5.41,f,10,0.063342563,5,0.031671281,1
43,l50s5,head,P. carabi,1,0.082189529,5.41,f,25,0.158356407,5,0.031671281,1
43,l50s5,head,P. carabi,3,0.246568587,5.41,f,50,0.316712815,5,0.031671281,1
44,l50s10,head,P. carabi,0,0,4.39,f,1,0.00913495,10,0.091349503,0
44,l50s10,head,P. carabi,1,0.102385584,4.39,f,5,0.045674752,10,0.091349503,0
44,l50s10,head,P. carabi,1,0.102385584,4.39,f,10,0.091349503,10,0.091349503,0
44,l50s10,head,P. carabi,3,0.307156752,4.39,f,25,0.228373759,10,0.091349503,0
44,l50s10,head,P. carabi,0,0,4.39,f,50,0.456747517,10,0.091349503,0
45,l50s10,head,P. carabi,0,0,4.42,f,1,0.009017681,10,0.090176806,0
45,l50s10,head,P. carabi,1,0.125,4.42,f,5,0.045088403,10,0.090176806,0
45,l50s10,head,P. carabi,1,0.125,4.42,f,10,0.090176806,10,0.090176806,0
45,l50s10,head,P. carabi,3,0.375,4.42,f,25,0.225442015,10,0.090176806,0
45,l50s10,head,P. carabi,5,0.625,4.42,f,50,0.45088403,10,0.090176806,0
46,l50s10,head,P. carabi,0,0,4.65,f,1,0.008209678,10,0.082096785,0
46,l50s10,head,P. carabi,4,0.460246232,4.65,f,5,0.041048392,10,0.082096785,0
46,l50s10,head,P. carabi,0,0,4.65,f,10,0.082096785,10,0.082096785,0
46,l50s10,head,P. carabi,3,0.345184674,4.65,f,25,0.205241962,10,0.082096785,0
46,l50s10,head,P. carabi,1,0.115061558,4.65,f,50,0.410483924,10,0.082096785,0
47,l50s10,head,P. carabi,0,0,4.67,f,1,0.008146207,10,0.081462075,0
47,l50s10,head,P. carabi,1,0.107956386,4.67,f,5,0.040731037,10,0.081462075,0
47,l50s10,head,P. carabi,1,0.107956386,4.67,f,10,0.081462075,10,0.081462075,0
47,l50s10,head,P. carabi,0,0,4.67,f,25,0.203655187,10,0.081462075,0
47,l50s10,head,P. carabi,2,0.215912771,4.67,f,50,0.407310374,10,0.081462075,0
48,l50s10,head,P. carabi,0,0,4.69,f,1,0.00808371,10,0.080837104,0
48,l50s10,head,P. carabi,1,0.102270403,4.69,f,5,0.040418552,10,0.080837104,0
48,l50s10,head,P. carabi,0,0,4.69,f,10,0.080837104,10,0.080837104,0
48,l50s10,head,P. carabi,1,0.102270403,4.69,f,25,0.202092759,10,0.080837104,0
48,l50s10,head,P. carabi,0,0,4.69,f,50,0.404185519,10,0.080837104,0
49,l50s10,head,P. carabi,1,0.119545726,4.84,f,1,0.007643885,10,0.076438854,0
49,l50s10,head,P. carabi,3,0.358637179,4.84,f,5,0.038219427,10,0.076438854,0
49,l50s10,head,P. carabi,2,0.239091452,4.84,f,10,0.076438854,10,0.076438854,0
49,l50s10,head,P. carabi,3,0.358637179,4.84,f,25,0.191097136,10,0.076438854,0
49,l50s10,head,P. carabi,3,0.358637179,4.84,f,50,0.382194272,10,0.076438854,0
50,l50s10,head,P. carabi,0,0,4.92,f,1,0.00742833,10,0.0742833,0
50,l50s10,head,P. carabi,4,0.505050505,4.92,f,5,0.03714165,10,0.0742833,0
50,l50s10,head,P. carabi,5,0.631313131,4.92,f,10,0.0742833,10,0.0742833,0
50,l50s10,head,P. carabi,5,0.631313131,4.92,f,25,0.18570825,10,0.0742833,0
50,l50s10,head,P. carabi,5,0.631313131,4.92,f,50,0.371416499,10,0.0742833,0
51,l50s10,head,P. carabi,1,0.116536534,5.33,f,1,0.006490325,10,0.06490325,0
51,l50s10,head,P. carabi,3,0.349609603,5.33,f,5,0.032451625,10,0.06490325,0
51,l50s10,head,P. carabi,2,0.233073068,5.33,f,10,0.06490325,10,0.06490325,0
51,l50s10,head,P. carabi,0,0,5.33,f,25,0.162258124,10,0.06490325,0
51,l50s10,head,P. carabi,3,0.349609603,5.33,f,50,0.324516248,10,0.06490325,0
52,l50s10,head,P. carabi,1,0.078603993,5.58,f,1,0.00602632,10,0.060263203,0
52,l50s10,head,P. carabi,2,0.157207986,5.58,f,5,0.030131602,10,0.060263203,0
52,l50s10,head,P. carabi,5,0.393019965,5.58,f,10,0.060263203,10,0.060263203,0
52,l50s10,head,P. carabi,2,0.157207986,5.58,f,25,0.150658008,10,0.060263203,0
52,l50s10,head,P. carabi,4,0.314415972,5.58,f,50,0.301316016,10,0.060263203,0
53,l50s25,head,P. carabi,0,0,4.23,f,1,0.00981574,25,0.245393498,0
53,l50s25,head,P. carabi,1,0.09896091,4.23,f,5,0.0490787,25,0.245393498,0
53,l50s25,head,P. carabi,1,0.09896091,4.23,f,10,0.098157399,25,0.245393498,0
53,l50s25,head,P. carabi,1,0.09896091,4.23,f,25,0.245393498,25,0.245393498,0
53,l50s25,head,P. carabi,2,0.197921821,4.23,f,50,0.490786996,25,0.245393498,0
54,l50s25,head,P. carabi,0,0,4.28,f,1,0.009592341,25,0.239808522,0
54,l50s25,head,P. carabi,1,0.12642225,4.28,f,5,0.047961704,25,0.239808522,0
54,l50s25,head,P. carabi,1,0.12642225,4.28,f,10,0.095923409,25,0.239808522,0
54,l50s25,head,P. carabi,2,0.252844501,4.28,f,25,0.239808522,25,0.239808522,0
54,l50s25,head,P. carabi,0,0,4.28,f,50,0.479617043,25,0.239808522,0
55,l50s25,head,P. carabi,0,0,4.52,f,1,0.008647634,25,0.216190862,0
55,l50s25,head,P. carabi,2,0.209489892,4.52,f,5,0.043238172,25,0.216190862,0
55,l50s25,head,P. carabi,2,0.209489892,4.52,f,10,0.086476345,25,0.216190862,0
55,l50s25,head,P. carabi,0,0,4.52,f,25,0.216190862,25,0.216190862,0
55,l50s25,head,P. carabi,1,0.104744946,4.52,f,50,0.432381725,25,0.216190862,0
56,l50s25,head,P. carabi,0,0,4.56,f,1,0.008507982,25,0.212699559,0
56,l50s25,head,P. carabi,3,0.332963374,4.56,f,5,0.042539912,25,0.212699559,0
56,l50s25,head,P. carabi,2,0.221975583,4.56,f,10,0.085079824,25,0.212699559,0
56,l50s25,head,P. carabi,0,0,4.56,f,25,0.212699559,25,0.212699559,0
56,l50s25,head,P. carabi,2,0.221975583,4.56,f,50,0.425399118,25,0.212699559,0
57,l50s25,head,P. carabi,0,0,4.57,f,1,0.008473771,25,0.211844282,0
57,l50s25,head,P. carabi,2,0.244468891,4.57,f,5,0.042368856,25,0.211844282,0
57,l50s25,head,P. carabi,2,0.244468891,4.57,f,10,0.084737713,25,0.211844282,0
57,l50s25,head,P. carabi,2,0.244468891,4.57,f,25,0.211844282,25,0.211844282,0
57,l50s25,head,P. carabi,5,0.611172228,4.57,f,50,0.423688563,25,0.211844282,0
58,l50s25,head,P. carabi,1,0.104351456,4.81,f,1,0.007727979,25,0.193199486,0
58,l50s25,head,P. carabi,4,0.417405823,4.81,f,5,0.038639897,25,0.193199486,0
58,l50s25,head,P. carabi,3,0.313054367,4.81,f,10,0.077279795,25,0.193199486,0
58,l50s25,head,P. carabi,0,0,4.81,f,25,0.193199486,25,0.193199486,0
58,l50s25,head,P. carabi,4,0.417405823,4.81,f,50,0.386398973,25,0.193199486,0
59,l50s25,head,P. carabi,0,0,4.86,f,1,0.007588832,25,0.189720805,0
59,l50s25,head,P. carabi,0,0,4.86,f,5,0.037944161,25,0.189720805,0
59,l50s25,head,P. carabi,0,0,4.86,f,10,0.075888322,25,0.189720805,0
59,l50s25,head,P. carabi,2,0.189843379,4.86,f,25,0.189720805,25,0.189720805,0
59,l50s25,head,P. carabi,1,0.09492169,4.86,f,50,0.379441611,25,0.189720805,0
60,l50s25,head,P. carabi,1,0.078764965,5.18,f,1,0.006804687,25,0.170117164,0
60,l50s25,head,P. carabi,0,0,5.18,f,5,0.034023433,25,0.170117164,0
60,l50s25,head,P. carabi,1,0.078764965,5.18,f,10,0.068046866,25,0.170117164,0
60,l50s25,head,P. carabi,2,0.157529931,5.18,f,25,0.170117164,25,0.170117164,0
60,l50s25,head,P. carabi,2,0.157529931,5.18,f,50,0.340234329,25,0.170117164,0
61,l50s25,head,P. carabi,1,0.088276836,5.24,f,1,0.006675357,25,0.166883927,0
61,l50s25,head,P. carabi,1,0.088276836,5.24,f,5,0.033376785,25,0.166883927,0
61,l50s25,head,P. carabi,2,0.176553672,5.24,f,10,0.066753571,25,0.166883927,0
61,l50s25,head,P. carabi,0,0,5.24,f,25,0.166883927,25,0.166883927,0
61,l50s25,head,P. carabi,1,0.088276836,5.24,f,50,0.333767855,25,0.166883927,0
62,l50s25,head,P. carabi,1,0.078573112,5.3,f,1,0.006550852,25,0.163771299,0
62,l50s25,head,P. carabi,1,0.078573112,5.3,f,5,0.03275426,25,0.163771299,0
62,l50s25,head,P. carabi,2,0.157146225,5.3,f,10,0.06550852,25,0.163771299,0
62,l50s25,head,P. carabi,1,0.078573112,5.3,f,25,0.163771299,25,0.163771299,0
62,l50s25,head,P. carabi,3,0.235719337,5.3,f,50,0.327542599,25,0.163771299,0
63,l50s50,head,P. carabi,0,0,4.19,f,1,0.010002093,50,0.500104672,0
63,l50s50,head,P. carabi,1,0.136258346,4.19,f,5,0.050010467,50,0.500104672,0
63,l50s50,head,P. carabi,1,0.136258346,4.19,f,10,0.100020934,50,0.500104672,0
63,l50s50,head,P. carabi,1,0.136258346,4.19,f,25,0.250052336,50,0.500104672,0
63,l50s50,head,P. carabi,4,0.545033383,4.19,f,50,0.500104672,50,0.500104672,0
64,l50s50,head,P. carabi,0,0,4.33,f,1,0.009378884,50,0.468944216,0
64,l50s50,head,P. carabi,2,0.238322212,4.33,f,5,0.046894422,50,0.468944216,0
64,l50s50,head,P. carabi,0,0,4.33,f,10,0.093788843,50,0.468944216,0
64,l50s50,head,P. carabi,0,0,4.33,f,25,0.234472108,50,0.468944216,0
64,l50s50,head,P. carabi,0,0,4.33,f,50,0.468944216,50,0.468944216,0
65,l50s50,head,P. carabi,0,0,4.63,f,1,0.008274146,50,0.413707315,0
65,l50s50,head,P. carabi,2,0.209008256,4.63,f,5,0.041370731,50,0.413707315,0
65,l50s50,head,P. carabi,1,0.104504128,4.63,f,10,0.082741463,50,0.413707315,0
65,l50s50,head,P. carabi,3,0.313512384,4.63,f,25,0.206853657,50,0.413707315,0
65,l50s50,head,P. carabi,2,0.209008256,4.63,f,50,0.413707315,50,0.413707315,0
66,l50s50,head,P. carabi,0,0,4.65,f,1,0.008209678,50,0.410483924,0
66,l50s50,head,P. carabi,1,0.091945568,4.65,f,5,0.041048392,50,0.410483924,0
66,l50s50,head,P. carabi,2,0.183891136,4.65,f,10,0.082096785,50,0.410483924,0
66,l50s50,head,P. carabi,2,0.183891136,4.65,f,25,0.205241962,50,0.410483924,0
66,l50s50,head,P. carabi,5,0.459727841,4.65,f,50,0.410483924,50,0.410483924,0
67,l50s50,head,P. carabi,1,0.094446543,4.74,f,1,0.007931584,50,0.396579203,0
67,l50s50,head,P. carabi,1,0.094446543,4.74,f,5,0.03965792,50,0.396579203,0
67,l50s50,head,P. carabi,1,0.094446543,4.74,f,10,0.079315841,50,0.396579203,0
67,l50s50,head,P. carabi,0,0,4.74,f,25,0.198289601,50,0.396579203,0
67,l50s50,head,P. carabi,0,0,4.74,f,50,0.396579203,50,0.396579203,0
68,l50s50,head,P. carabi,1,0.09310987,4.82,f,1,0.007699743,50,0.384987164,0
68,l50s50,head,P. carabi,4,0.372439479,4.82,f,5,0.038498716,50,0.384987164,0
68,l50s50,head,P. carabi,5,0.465549348,4.82,f,10,0.076997433,50,0.384987164,0
68,l50s50,head,P. carabi,7,0.651769088,4.82,f,25,0.192493582,50,0.384987164,0
68,l50s50,head,P. carabi,10,0.931098696,4.82,f,50,0.384987164,50,0.384987164,0
69,l50s50,head,P. carabi,0,0,5.24,f,1,0.006675357,50,0.333767855,0
69,l50s50,head,P. carabi,1,0.081779522,5.24,f,5,0.033376785,50,0.333767855,0
69,l50s50,head,P. carabi,0,0,5.24,f,10,0.066753571,50,0.333767855,0
69,l50s50,head,P. carabi,2,0.163559045,5.24,f,25,0.166883927,50,0.333767855,0
69,l50s50,head,P. carabi,1,0.081779522,5.24,f,50,0.333767855,50,0.333767855,0
70,l50s10,head,P. carabi,0,0,4.72,f,1,0.007991742,10,0.079917423,0
70,l50s10,head,P. carabi,1,0.116618076,4.72,f,5,0.039958711,10,0.079917423,0
70,l50s10,head,P. carabi,1,0.116618076,4.72,f,10,0.079917423,10,0.079917423,0
70,l50s10,head,P. carabi,0,0,4.72,f,25,0.199793557,10,0.079917423,0
70,l50s10,head,P. carabi,1,0.116618076,4.72,f,50,0.399587115,10,0.079917423,0
1,l50s50,thorax,P. carabi,0,0,4.88,f,1,0.007534566,50,0.376728316,0
1,l50s50,thorax,P. carabi,4,0.140011901,4.88,f,5,0.037672832,50,0.376728316,0
